First ,Middle,Last,University,Elsevier ID,Comments about Elsevier IDs,Home department,Secondary department (if any),Note:
Anthony,,Suen,Berkeley,54973637600,,Institute for Data Science,,
Ankur,,Teredesai,University of Washington - Seattle,6602892213,,Center for Data Science,,
LuAnne,,Thompson,University of Washington - Seattle,35587189700,,Department of Physical Oceanography,,School of Oceanography
Kristin,,Tolle,University of Washington - Seattle,55758447400,,eScience Institute,,
Daniel ,,Turek,Berkeley,52264707100,,"Department of Environmental Science, Policy and Management",,
Daniela,,Ushizima,Berkeley,14827670900,,Institute for Data Science,,
St_fan,,Van Der Walt,Berkeley,15732291000,,Institute for Data Science,,
Jake,,VanderPlas,University of Washington - Seattle,35111982900,,Department of Astronomy,,
John,,Vidale,University of Washington - Seattle,7005884875,,Department of Earth & Space Sciences,,
Paul,A ,Waddell,Berkeley,7005649912,,Institute of Urban & Regional Development,,
Laura,,Waller,Berkeley,12805039400,,Engineering Research Center,,
Jevin,,West,University of Washington - Seattle,36922389600,,Information School,,
John,,Wilkerson,University of Washington - Seattle,7101889079,,Department of Political Science,,
Jeffrey,,Wilkes,University of Washington - Seattle,7005431498,,Department of Physics,,
Charles David,,Williams,University of Washington - Seattle,55660513600,,Department of Biology,Department of Computer Science and Engineering,
Daniela,,Witten,University of Washington - Seattle,24339773500,,Department of Biostatistics,,
Stephanie,,Wright,University of Washington - Seattle,None,,eScience Institute,,
Jason,D,Yeatman,University of Washington - Seattle,35103808100,,Institute for Learning and Brain Sciences,,
Ka Yee,,Yeung,University of Washington - Seattle,7202425026,,Department of Microbiology,,
Zhao,,Zhang,Berkeley,too many choices,,Engineering Research Center,,
Baosen,,Zhang,University of Washington - Seattle,56100683300,,Department of Electrical Engineering,,
,,,,,,,,
,,,,,,,,
David,W,Hogg,NYU,35277937900,,Center for Cosmology and Particle Physics,Department of Physics,Center for Data Science
Juliana,,Freire,NYU,18037092200,,Department of Computer Science and Engineering,,Center for Data Science
Roy,,Lowrance,NYU,56179964500,,Center for Data Science,,
Jennifer,L,Hill,NYU,7404771868,,Department of Humanities and Social Sciences in the Professions,,
Michael,,Laver,NYU,7005931561,,Department of Politics,,
Yann,A,LeCun,NYU,55666793600,,Department of Electrical and Computer Engineering,,
Foster,John,Provost,NYU,7004026629,,"Department of Information, Operations and Management Sciences",,
Claudio,T,Silva,NYU,7201387294,,Department of Computer Science and Engineering,,
Eero,P,Simoncelli,NYU,7004044833,,Department of_Neural Science,Department of Mathematics,Department of Psychology
David,,Sontag,NYU,35726211000,,Department of Computer Science,Center for Data Science,
S. R. Srinivasa,,Varadhan,NYU,6602572026,,Department of Mathematics,,
Karen,E,Adolph,NYU,7006292490,,Department of Psychology,,
Constantin,F,Aliferis,NYU,6602844802,,Center for Health Informatics and Bioinformatics,,
Nathaniel,L,Beck,NYU,16482020700,,Department of Politics,,
Juan,Pablo,Bello,NYU,7102889110,,Department of Music and Performing Arts Professions,Department of_Electrical and Computer Engineering,Center for Data Science
G_rard,,Ben Arous,NYU,6701615703,,Department of Mathematics,,
Michael,R,Blanton,NYU,7006055851,,Department of Physics,,
Jan,,Blustein,NYU,7006213802,,Department of Population Health,,
